old	new	old_len	new_len
monteCarloRadiosityElementComputeAverageReflectanceAndEmittance	mntCarloRadElemCompAvgReflAEmit	63	31
stochasticRelaxationRadiosityDoIncrementalImportanceIterations	stchsRelaxRadDIncrmImpItrtn	62	27
stochasticRelaxationRadiosityDoIncrementalRadianceIterations	stchsRelaxRadDIncrmRadnItrtn	60	28
stochasticRelaxationRadiosityPrintIncrementalImportanceStats	stchsRelaxRadPrintIncrmImpStats	60	31
__PHONG_BIDIRECTIONAL_TRANSMITTANCE_DISTRIBUTION_FUNCTION__	PHNG_BDRCT_TRNSM_DSTRB_FNCTN	59	28
stochasticRelaxationRadiosityPrintIncrementalRadianceStats	stchRelaRadPrinIncrRadnStat	58	27
__PHONG_BIDIRECTIONAL_REFLECTANCE_DISTRIBUTION_FUNCTION__	PHNG_BDRCT_RFLCT_DSTRB_FNCTN	57	28
stochasticRelaxationRadiosityDoRegularImportanceIteration	stchsRelaxRadDRegImpItrtn	57	25
__PHONG_BIDIRECTIONAL_SCATTERING_DISTRIBUTION_FUNCTION__	PHNG_BDRCT_SCTTR_DSTRB_FNCTN	56	28
stochasticRelaxationRadiosityDoRegularRadianceIteration	stchsRelaxRadDRegRadnItrtn	55	26
stochasticRelaxationRadiosityElementIncrementImportance	stchsRelaxRadElemIncrImp	55	24
stochasticRelaxationRadiosityElementDiscardIncremental	stchsRelaxRadElemDscrdIncrm	54	27
__VISUAL_DEBUG_TOOLS_GLUT_DEBUG_TOOLS_MOUSE_CONTROL__	VSL_DBG_TLS_GLU_DBG_TLS_MS_CNT	53	30
randomWalkRadiosityDetermineGatheringControlRadiosity	rndmWalkRadDetGthrnCtrlRad	53	26
stochasticRelaxationRadiosityElementIncrementRadiance	stchsRelaxRadElemIncrRadn	53	25
DEFAULT_GAL_SCRATCH_FRAME_BUFFER_SIDE_SIZE_IN_PIXELS	DF_GAL_SCR_FRM_BUF_SID_SIZ_I_PX	52	31
stochasticRelaxationRadiosityElementUnShotImportance	stchsRelaxRadElemUnShotImp	52	26
stochasticRelaxationRadiosityElementUpdateImportance	stchsRelaxRadElemUpdImp	52	23
PhongBidirectionalTransmittanceDistributionFunction	PhongBidirTransDistFunc	51	23
__VISUAL_DEBUG_TOOLS_GLUT_DEBUG_TOOLS_KEY_CONTROL__	VSL_DBG_TLS_GLU_DBG_TLS_KEY_CNT	51	31
stochasticJacobiPropagateRadianceToClusterIsotropic	stchsJacPropRadnTClustIstrp	51	27
stochasticRadiosityElementRegularLeafElementAtPoint	stchsRadElemRegLeafElemAPnt	51	27
stochasticRelaxationRadiosityRecomputeDisplayColors	stchsRelaxRadRecompDispClrs	51	27
monteCarloRadiosityCreateClusterHierarchyRecursive	mntCarloRadCreateClustHierRec	50	29
sceneBuilderAddPatchToLightSourceListIfLightSource	sceBldAddPtcTLigSrcLisIfLigSrc	50	30
stochasticJacobiPropagateRadianceToClusterOriented	stchsJacPropRadnTClustOrntd	50	27
stochasticRadiosityElementRegularSubElementAtPoint	stchsRadElemRegSubElemAPnt	50	26
stochasticRelaxationRadiosityElementUnShotRadiance	stchsRelaxRadElemUnShotRadn	50	27
stochasticRelaxationRadiosityElementUpdateRadiance	stchsRelaxRadElemUpdRadn	50	24
PhongBidirectionalReflectanceDistributionFunction	PhongBidirReflDistFunc	49	22
__OPTIONS_GROUP_STOCHASTIC_RELAXATION_RADIOSITY__	OPTNS_GRP_STCHS_RLXTN_RDSTY	49	27
__VISUAL_DEBUG_TOOLS_GLUT_DEBUG_PATCH_HIERARCHY__	VSL_DBG_TLS_GLUT_DBG_PTCH_HRRCH	49	31
monteCarloRadiosityInterpolatedReflectanceAtPoint	mntCarloRadInterpReflAPnt	49	25
stochasticJacobiPropagateRadianceClusterRecursive	stchsJacPropRadnClustRec	49	24
stochasticRadiosityElementDestroyClusterHierarchy	stchsRadElemDestroyClustHier	49	28
stochasticRadiosityElementRegularSubdivideElement	stchsRadElemRegSbdvdElem	49	24
toneMappingCommandLineOptionDescAdaptMethodOption	tonMppCmdLinOptDesAdaMetOpt	49	27
PhongBidirectionalScatteringDistributionFunction	PhongBidirScattDistFunc	48	23
__COMMAND_LINE_RAYTRACING_METHOD_OPTIONS_GROUP__	CMMND_LINE_RYTRC_MTHD_OPTNS_GRP	48	31
stochasticRadiosityElementComputeNewVertexColors	stchsRadElemCompNewVtxClrs	48	26
